id;scheme_name;scheme_code;scheme_description
1;Cross-platform parallelism;Generic Trace;indexing Re-contextualized Namibia
2;Barbados;tan;Uganda Shilling Qatar sensor
3;Extension cutting-edge;Rufiyaa Central Functionality;Plastic alarm Metical
4;Pa'anga Manager;Engineer;Fish non-volatile
5;Square Squares;invoice Credit Card Account;generating enterprise
6;European Monetary Unit (E.M.U.-6) Handcrafted;Investor Expanded Cross-platform;deploy holistic
7;RSS relationships invoice;redefine Engineer Russian Ruble;salmon
8;Intelligent Home Loan Account Central;USB copy Armenian Dram;green Alley
9;functionalities calculate;Concrete Vermont;metrics Configuration Persistent
10;compressing Usability;e-markets;Fantastic focus group Electronics
